ID,Y,M,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
5,72,1,9,3,3,3,7,12,21,31,33,34,36,35,36,37,36,35,34,34,33,31,31,28,19,11
5,72,4,99,99,99,99,1,6,13,21,31,39,39,40,39,39,36,37,37,37,35,33,29,18,11,5
5,72,7,3,99,99,99,2,7,11,17,24,34,39,39,40,41,40,40,40,39,38,31,23,19,14,9
5,72,10,6,4,3,5,8,17,23,29,33,34,33,34,33,32,34,34,34,33,33,31,28,19,15,10
5,73,1,7,99,99,4,7,3,19,23,35,35,38,37,37,38,38,37,37,36,36,36,36,36,18,14
5,73,4,3,99,99,99,4,8,11,12,31,35,36,36,37,35,37,37,37,37,35,33,25,19,9,7
5,73,7,7,6,6,5,7,9,15,20,28,35,38,38,38,38,39,39,39,39,38,32,26,21,17,11
5,73,10,16,14,12,14,19,25,31,37,39,39,39,39,39,39,40,39,39,39,38,38,36,29,23,19
5,74,1,26,22,19,23,26,29,35,40,41,41,41,41,42,42,43,42,42,41,42,40,41,39,36,30
5,74,4,9,8,7,9,15,16,22,30,37,39,40,41,42,41,42,41,41,41,41,39,31,27,20,15
5,74,7,5,0,-1,99,3,9,12,19,28,35,39,39,40,40,40,40,39,39,38,41,22,17,11,8
5,74,10,7,5,5,7,11,17,23,33,36,38,37,37,37,37,38,38,37,36,36,36,32,21,17,9
5,75,1,13,11,9,10,14,21,26,37,40,41,42,41,42,42,42,41,41,41,40,39,39,37,28,19
5,75,4,15,13,13,14,17,21,26,32,37,41,41,42,41,41,42,41,41,40,40,39,36,31,23,19
5,75,7,15,12,11,12,16,18,27,32,37,41,43,43,42,42,43,42,42,41,41,37,33,29,23,18
5,75,10,7,5,6,9,13,20,31,35,38,40,41,41,41,39,39,39,38,39,38,37,31,26,13,7
5,76,1,11,11,9,15,16,21,25,34,37,38,39,40,41,41,40,41,41,41,40,38,36,36,25,21
5,76,4,7,8,8,9,12,17,23,28,34,39,39,41,41,39,37,39,37,37,35,35,29,23,18,12
5,76,7,17,15,14,14,17,19,25,32,36,39,46,47,47,48,47,48,48,46,43,36,35,31,26,21
5,76,10,14,12,13,17,21,25,31,33,35,37,37,37,36,35,37,36,35,36,35,36,32,27,23,16
5,77,1,14,9,10,11,16,20,28,35,37,36,35,36,35,34,35,34,35,33,33,33,31,27,22,16
5,77,4,1,0,99,99,2,6,13,20,25,31,31,31,31,32,31,33,31,33,31,28,21,16,11,4
5,77,7,1,-1,99,99,-1,1,7,16,19,28,34,36,36,36,36,36,36,35,32,26,19,15,11,4
5,77,10,7,3,1,3,7,17,22,28,32,32,32,33,33,33,32,33,32,32,33,31,26,21,17,11
6,70,1,26,24,23,23,28,28,30,33,32,35,35,33,27,25,23,23,25,20,18,18,18,32,30,30
6,70,4,13,13,10,12,14,18,23,26,30,34,32,30,28,28,28,27,38,38,35,37,30,28,22,18
6,70,7,19,18,17,19,19,22,27,35,38,42,44,44,43,42,43,46,45,45,45,42,36,31,26,21
6,70,10,24,22,22,24,27,33,32,35,37,36,34,35,33,30,32,36,35,34,33,31,32,30,33,28
6,71,1,28,23,23,25,28,30,32,34,36,34,23,23,23,25,20,26,26,25,25,24,23,32,30,33
6,71,4,19,15,15,15,18,24,30,30,36,36,38,38,38,38,34,40,40,40,38,38,31,34,29,22
6,71,7,21,18,18,19,19,25,30,34,40,42,44,45,47,46,46,46,45,45,42,37,36,34,30,26
6,71,10,20,19,18,20,23,28,29,33,33,33,31,33,33,31,29,35,33,34,34,30,31,38,30,23
6,72,1,25,23,22,22,24,23,26,32,31,29,27,25,27,26,24,27,29,28,29,27,24,33,28,28
6,72,4,18,16,15,17,17,22,28,31,34,37,35,35,36,34,34,40,38,39,38,38,30,32,26,22
6,72,7,18,16,15,17,17,21,26,34,36,39,41,41,42,42,41,42,40,40,38,35,35,31,25,21
6,72,10,20,19,19,20,24,29,30,34,36,36,35,36,33,33,34,36,33,33,30,30,34,31,30,24
6,73,1,33,31,31,31,34,33,36,41,41,33,32,33,33,33,33,37,33,31,30,30,29,40,37,36
6,73,4,25,23,22,24,26,31,36,38,41,42,42,42,42,41,41,41,41,40,33,37,38,38,34,30
6,73,7,28,26,25,26,28,31,37,41,44,46,47,47,47,47,47,47,45,44,42,41,42,40,35,31
6,73,10,29,27,26,28,31,33,38,39,39,37,36,36,37,33,33,37,37,34,37,33,37,34,35,31
6,74,1,38,38,39,39,41,40,38,40,35,34,33,33,31,33,34,36,36,37,33,33,30,41,40,40
6,74,4,27,25,24,25,27,30,35,36,42,43,42,43,43,42,40,40,40,39,36,38,38,36,35,30
6,74,7,22,20,18,18,21,25,29,32,38,41,42,42,42,42,43,43,42,42,41,38,36,33,29,25
6,74,10,24,24,24,24,29,31,34,37,39,38,36,37,35,35,35,37,37,37,33,32,37,34,32,28
6,75,1,23,21,20,20,22,24,27,30,27,23,23,28,29,28,28,28,25,23,23,19,18,31,27,26
6,75,4,23,20,20,22,24,28,30,34,37,40,39,38,38,32,28,34,34,34,31,30,36,34,33,26
6,75,7,26,23,24,23,25,28,33,36,41,45,45,45,46,44,43,45,43,45,43,41,40,36,33,29
6,75,10,26,24,24,26,28,32,35,38,37,33,33,28,26,26,27,35,33,33,33,28,36,33,30,30
6,76,1,28,26,26,26,26,27,31,33,27,24,23,23,22,24,21,25,25,28,26,21,22,34,34,31
